# [0]SEQN, [1]Timestamp, [2]VCC, [3]Gyro_X, [4]Gyro_Y, [5]Gyro_Z, [6]Acc_X, [7]Acc_Y, [8]Acc_Z, [9]Magn_X, [10]Magn_Y, [11]Magn_Z, [12]Temp, [13]Aux_ADC
90502,117849045835803,5.058456,0.25,1.0,0.15,9.8294994945,0.0326561445,0.195936867,7.155e-05,2.075e-05,5e-06,31.58,0
90502,117849047075695,5.058456,0.45,0.85,0.25,9.8294994945,0.0326561445,0.195936867,7.15e-05,2.075e-05,4.95e-06,31.58,0
90502,117849048240368,5.060874,0.5,0.75,0.4,9.8294994945,0.0326561445,0.195936867,7.15e-05,2.075e-05,4.95e-06,31.58,0
90502,117849049530476,5.060874,0.5,0.6,0.45,9.8294994945,0.0326561445,0.195936867,7.15e-05,2.075e-05,4.95e-06,31.58,0
90502,117849050751162,5.060874,0.5,0.6,0.4,9.8294994945,0.0326561445,0.2285930115,7.15e-05,2.075e-05,4.9e-06,31.58,0
90502,117849051834540,5.060874,0.25,0.7,0.3,9.8294994945,0.0326561445,0.2285930115,7.15e-05,2.08e-05,4.9e-06,31.58,0
90502,117849053191347,5.058456,0.05,0.6,0.25,9.8294994945,0.0,0.2285930115,7.155e-05,2.085e-05,4.9e-06,31.58,0
90502,117849054261176,5.058456,-0.1,0.6,0.25,9.79684335,0.0,0.195936867,7.155e-05,2.09e-05,4.9e-06,31.44,0
90502,117849055654020,5.058456,-0.25,0.5,0.25,9.79684335,0.0,0.195936867,7.155e-05,2.09e-05,4.9e-06,31.44,0
90502,117849056839367,5.058456,-0.25,0.4,0.2,9.8294994945,0.0,0.1632807225,7.155e-05,2.09e-05,4.9e-06,31.44,0
90502,117849058101119,5.058456,-0.25,0.55,0.0,9.79684335,0.0326561445,0.1632807225,7.155e-05,2.085e-05,4.95e-06,31.44,0
90502,117849059264675,5.058456,-0.15,0.65,-0.2,9.79684335,0.0326561445,0.1632807225,7.155e-05,2.085e-05,4.95e-06,31.44,0
